"datum";"Â.1";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"PIRATEN";"institut";"url"
"12.03.2010";"Â";"39 %";"26 %";"14 %";"9 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"26.02.2010";"Â";"37 %";"24 %";"16 %";"9 %";"10 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"29.01.2010";"Â";"41 %";"28 %";"11 %";"9 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"15.01.2010";"Â";"41 %";"26 %";"12 %";"9 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"11.12.2009";"Â";"37 %";"28 %";"12 %";"10 %";"9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"27.11.2009";"Â";"36 %";"27 %";"10 %";"11 %";"10 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"30.10.2009";"Â";"41 %";"20 %";"11 %";"11 %";"12 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"16.10.2009";"Â";"38 %";"21 %";"11 %";"14 %";"12 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"02.10.2009";"Â";"36 %";"22 %";"11 %";"14 %";"13 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
"Wahl 2009";"Â";"33,8 %";"23,0 %";"10,7 %";"14,6 %";"11,9 %";NA;"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2013.htm"
