"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"22.09.2002";"Â";"38,5 %";"38,5 %";"8,6 %";"7,4 %";"4,0 %";"3,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"13.09.2002";"Â";"36,0 %";"38,5 %";"8,0 %";"8,5 %";"4,7 %";"4,3 %";"Â";"2.000";"09.09.â€“12.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"09.09.2002";"Â";"38 %";"39 %";"7,5 %";"8,5 %";"4 %";"3 %";"Â";"1.000";"09.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"06.09.2002";"Â";"39,5 %";"38 %";"7,5 %";"8,5 %";"4 %";"2,5 %";"Â";"2.324";"02.09.â€“04.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"04.09.2002*";"Â";"40 %";"39 %";"7 %";"8 %";"4 %";"2 %";"Â";"1.000";"26.08.â€“03.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"30.08.2002";"Â";"41 %";"39 %";"7 %";"7 %";"4 %";"2 %";"Â";"1.000";"26.08.â€“29.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"23.08.2002";"Â";"41 %";"36 %";"7 %";"8 %";"4 %";"4 %";"Â";"1.000";"19.08.â€“22.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"16.08.2002";"Â";"40 %";"34 %";"7 %";"10 %";"5 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"09.08.2002";"Â";"41 %";"34 %";"7 %";"9 %";"5 %";"4 %";"Â";"1.000";"05.08.â€“08.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"02.08.2002";"Â";"40 %";"35 %";"7 %";"9 %";"5 %";"4 %";"Â";"1.821";"29.07.â€“01.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"26.07.2002";"Â";"41 %";"35 %";"7 %";"9 %";"5 %";"3 %";"Â";"1.100";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"19.07.2002";"Â";"40 %";"35 %";"6 %";"9 %";"6 %";"4 %";"Â";"1.000";"15.07.â€“18.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"11.07.2002";"Â";"40 %";"35 %";"6 %";"9 %";"6 %";"4 %";"Â";"1.100";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"05.07.2002";"Â";"40 %";"36 %";"6 %";"9 %";"6 %";"3 %";"Â";"1.300";"01.07.â€“03.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"27.06.2002";"Â";"39 %";"36 %";"6 %";"10 %";"6 %";"3 %";"Â";"550";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"21.06.2002";"Â";"39 %";"36 %";"7 %";"10 %";"6 %";"2 %";"Â";"1.100";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"13.06.2002";"Â";"39 %";"35 %";"7 %";"10 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"06.06.2002";"Â";"39 %";"34 %";"8 %";"10 %";"6 %";"3 %";"Â";"1.303";"03.06.â€“05.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"31.05.2002";"Â";"39 %";"33 %";"7 %";"11 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"24.05.2002";"Â";"39 %";"32 %";"7 %";"13 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"17.05.2002";"Â";"40 %";"32 %";"7 %";"12 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"15.05.2002*";"Â";"40 %";"32 %";"7 %";"12 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"10.05.2002";"Â";"41 %";"31 %";"7 %";"11 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"03.05.2002";"Â";"41 %";"32 %";"7 %";"11 %";"5 %";"4 %";"Â";"1.000";"29.04.â€“01.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"26.04.2002";"Â";"39 %";"34 %";"7 %";"10 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"19.04.2002";"Â";"39 %";"35 %";"7 %";"9 %";"6 %";"4 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"12.04.2002";"Â";"39 %";"35 %";"7 %";"9 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"10.04.2002*";"Â";"40 %";"34 %";"7 %";"9 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"05.04.2002";"Â";"39 %";"34 %";"7 %";"9 %";"7 %";"4 %";"Â";"1.300";"28.03.â€“03.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"27.03.2002";"Â";"39 %";"35 %";"8 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"22.03.2002";"Â";"41 %";"36 %";"7 %";"8 %";"5 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"15.03.2002";"Â";"41 %";"36 %";"7 %";"8 %";"6 %";"2 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"08.03.2002";"Â";"40 %";"36 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"01.03.2002";"Â";"40 %";"36 %";"6 %";"9 %";"6 %";"3 %";"Â";"1.300";"21.02.â€“26.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"22.02.2002";"Â";"41 %";"35 %";"6 %";"9 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"15.02.2002";"Â";"41 %";"36 %";"6 %";"8 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"08.02.2002";"Â";"41 %";"36 %";"6 %";"8 %";"6 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"01.02.2002";"Â";"41 %";"36 %";"6 %";"8 %";"7 %";"2 %";"Â";"Â";"24.01.â€“29.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"25.01.2002";"Â";"40 %";"36 %";"6 %";"9 %";"7 %";"2 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"18.01.2002";"Â";"39 %";"37 %";"6 %";"9 %";"7 %";"2 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"11.01.2002";"Â";"39 %";"38 %";"5 %";"8 %";"7 %";"3 %";"Â";"Â";"03.01.â€“08.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
"04.01.2002";"Â";"38 %";"38 %";"6 %";"8 %";"7 %";"3 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2002.htm"
