"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Rechte";"Sonstige";"institut";"url"
"28.05.1999";"Â";"40 %";"38 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"21.05.1999";"Â";"40 %";"39 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"14.05.1999";"Â";"40 %";"38 %";"6 %";"6 %";"5 %";"4 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"07.05.1999";"Â";"40 %";"39 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"30.04.1999";"Â";"39 %";"39 %";"6 %";"5 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"23.04.1999";"Â";"39 %";"40 %";"6 %";"5 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"16.04.1999";"Â";"40 %";"39 %";"6 %";"5 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"09.04.1999";"Â";"40 %";"38 %";"6 %";"5 %";"6 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"26.03.1999";"Â";"40 %";"38 %";"6 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"19.03.1999";"Â";"41 %";"39 %";"6 %";"5 %";"5 %";"2 %";"4 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"12.03.1999";"Â";"40 %";"39 %";"6 %";"6 %";"5 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"05.03.1999";"Â";"40 %";"39 %";"6 %";"5 %";"5 %";"2 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"26.02.1999";"Â";"40 %";"39 %";"6 %";"6 %";"5 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"19.02.1999";"Â";"40 %";"40 %";"6 %";"5 %";"5 %";"2 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"12.02.1999";"Â";"38 %";"40 %";"6 %";"5 %";"5 %";"3 %";"3 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"05.02.1999";"Â";"37 %";"41 %";"7 %";"5 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"29.01.1999";"Â";"38 %";"39 %";"7 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"22.01.1999";"Â";"38 %";"40 %";"6 %";"5 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"15.01.1999";"Â";"36 %";"41 %";"7 %";"6 %";"6 %";"3 %";"1 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"08.01.1999";"Â";"37 %";"40 %";"6 %";"6 %";"5 %";"4 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
"02.01.1999";"Â";"37 %";"41 %";"6 %";"6 %";"5 %";"3 %";"2 %";"emnid";"http://www.wahlrecht.de/umfragen/emnid/1999.htm"
