"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"16.09.2005";"Â";"41-43 %";"32-34 %";"6-7 %";"7-8 %";"7-8 %";"k. A.";"Â";"2.004";"12.09.â€“16.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"12.09.2005";"Â";"42 %";"35 %";"7 %";"6 %";"7 %";"3 %";"Â";"2.504";"05.09.â€“09.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"07.09.2005";"Â";"42 %";"34 %";"7 %";"6 %";"8 %";"3 %";"Â";"1.030";"05.09.â€“06.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"03.09.2005";"Â";"43 %";"31 %";"7 %";"7 %";"9 %";"3 %";"Â";"2.507";"29.08.â€“02.09.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"29.08.2005";"Â";"43 %";"30 %";"7 %";"8 %";"8 %";"4 %";"Â";"2.501";"22.08.â€“26.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"22.08.2005";"Â";"43 %";"29 %";"7 %";"8 %";"9 %";"4 %";"Â";"2.508";"15.08.â€“19.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"13.08.2005";"Â";"43 %";"29 %";"7 %";"7 %";"10 %";"4 %";"Â";"2.503";"08.08.â€“12.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"10.08.2005";"Â";"42 %";"28 %";"7 %";"7 %";"12 %";"4 %";"Â";"2.501";"01.08.â€“05.08.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"03.08.2005";"Â";"45 %";"26 %";"7 %";"7 %";"12 %";"3 %";"Â";"2.507";"25.07.â€“29.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"27.07.2005";"Â";"44 %";"27 %";"8 %";"7 %";"11 %";"3 %";"Â";"2.504";"18.07.â€“22.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"20.07.2005";"Â";"44 %";"27 %";"8 %";"7 %";"11 %";"3 %";"Â";"2.505";"11.07.â€“15.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"13.07.2005";"Â";"46 %";"27 %";"7 %";"7 %";"10 %";"3 %";"Â";"2.503";"04.07.â€“08.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"06.07.2005";"Â";"47 %";"26 %";"7 %";"6 %";"10 %";"4 %";"Â";"2.501";"27.06.â€“01.07.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"28.06.2005";"Â";"47 %";"26 %";"7 %";"6 %";"11 %";"3 %";"Â";"2.504";"20.06.â€“24.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"22.06.2005";"Â";"49 %";"26 %";"7 %";"6 %";"9 %";"3 %";"Â";"2.501";"13.06.â€“17.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"15.06.2005";"Â";"49 %";"27 %";"7 %";"7 %";"5 %";"5 %";"Â";"1.101";"09.06.â€“10.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"08.06.2005";"Â";"49 %";"28 %";"8 %";"6 %";"5 %";"4 %";"Â";"2.504";"28.05.â€“03.06.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"01.06.2005";"Â";"49 %";"28 %";"8 %";"7 %";"4 %";"4 %";"Â";"2.501";"23.05.â€“27.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"24.05.2005";"Â";"45 %";"28 %";"8 %";"9 %";"5 %";"5 %";"Â";"2.003";"17.05.â€“20.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"18.05.2005";"Â";"46 %";"28 %";"8 %";"9 %";"4 %";"5 %";"Â";"2.506";"09.05.â€“13.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"11.05.2005";"Â";"45 %";"28 %";"8 %";"8 %";"5 %";"6 %";"Â";"2.002";"02.05.â€“06.05.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"03.05.2005";"Â";"45 %";"29 %";"8 %";"8 %";"5 %";"5 %";"Â";"2.502";"25.04.â€“29.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"27.04.2005";"Â";"46 %";"28 %";"8 %";"7 %";"5 %";"6 %";"Â";"2.503";"18.04.â€“22.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"20.04.2005";"Â";"46 %";"28 %";"9 %";"7 %";"5 %";"5 %";"Â";"2.503";"11.04.â€“15.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"13.04.2005";"Â";"46 %";"28 %";"8 %";"7 %";"5 %";"6 %";"Â";"2.504";"04.04.â€“08.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"06.04.2005";"Â";"46 %";"28 %";"8 %";"8 %";"5 %";"5 %";"Â";"2.002";"29.03.â€“01.04.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"29.03.2005";"Â";"46 %";"28 %";"8 %";"8 %";"5 %";"5 %";"Â";"2.008";"21.03.â€“24.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"22.03.2005";"Â";"46 %";"29 %";"9 %";"7 %";"4 %";"5 %";"Â";"2.505";"14.03.â€“18.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"16.03.2005";"Â";"44 %";"31 %";"8 %";"7 %";"4 %";"6 %";"Â";"2.502";"07.03.â€“11.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"09.03.2005";"Â";"43 %";"31 %";"8 %";"7 %";"5 %";"6 %";"Â";"2.503";"28.02.â€“04.03.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"02.03.2005";"Â";"42 %";"32 %";"8 %";"7 %";"5 %";"6 %";"Â";"2.500";"21.02.â€“25.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"23.02.2005";"Â";"40 %";"34 %";"9 %";"7 %";"4 %";"6 %";"Â";"2.502";"14.02.â€“18.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"15.02.2005";"Â";"40 %";"33 %";"10 %";"8 %";"4 %";"5 %";"Â";"2.502";"07.02.â€“11.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"09.02.2005";"Â";"40 %";"34 %";"10 %";"7 %";"4 %";"5 %";"Â";"2.501";"31.01.â€“04.02.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"02.02.2005";"Â";"37 %";"35 %";"11 %";"8 %";"4 %";"5 %";"Â";"2.503";"24.01.â€“28.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"26.01.2005";"Â";"37 %";"35 %";"11 %";"8 %";"4 %";"5 %";"Â";"2.499";"17.01.â€“21.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"19.01.2005";"Â";"38 %";"35 %";"10 %";"8 %";"5 %";"4 %";"Â";"2.502";"10.01.â€“14.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"11.01.2005";"Â";"38 %";"35 %";"10 %";"7 %";"5 %";"5 %";"Â";"2.501";"03.01.â€“07.01.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
"04.01.2005";"Â";"38 %";"34 %";"10 %";"8 %";"5 %";"5 %";"Â";"2.005";"27.12.â€“30.12.";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2005.htm"
