"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"15.10.2008";"Â";"33 %";"25 %";"10 %";"13 %";"14 %";"5 %";"Â";"4.111";"06.10.â€“13.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"08.10.2008";"Â";"33 %";"26 %";"11 %";"13 %";"13 %";"4 %";"Â";"3.134";"29.09.â€“06.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"01.10.2008";"Â";"34 %";"25 %";"10 %";"12 %";"14 %";"5 %";"Â";"3.619";"22.09.â€“29.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"23.09.2008";"Â";"34 %";"26 %";"10 %";"11 %";"14 %";"5 %";"Â";"4.133";"15.09.â€“22.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"17.09.2008";"Â";"35 %";"26 %";"10 %";"12 %";"13 %";"4 %";"Â";"3.665";"09.09.â€“15.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"09.09.2008";"Â";"36 %";"27 %";"10 %";"11 %";"13 %";"3 %";"Â";"987";"08.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"11.09.2008";"Â";"36 %";"26 %";"10 %";"11 %";"13 %";"4 %";"Â";"4.585";"01.09.â€“08.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"02.09.2008";"Â";"36 %";"25 %";"11 %";"11 %";"14 %";"3 %";"Â";"3.186";"25.08.â€“30.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"27.08.2008";"Â";"36 %";"24 %";"11 %";"12 %";"13 %";"4 %";"Â";"4.597";"18.08.â€“25.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"20.08.2008";"Â";"36 %";"24 %";"10 %";"12 %";"14 %";"4 %";"Â";"3.208";"11.08.â€“18.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"13.08.2008";"Â";"36 %";"24 %";"11 %";"11 %";"14 %";"4 %";"Â";"3.690";"04.08.â€“11.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"06.08.2008";"Â";"35 %";"25 %";"10 %";"12 %";"14 %";"4 %";"Â";"3.703";"28.07.â€“04.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"30.07.2008";"Â";"35 %";"26 %";"10 %";"12 %";"13 %";"4 %";"Â";"3.664";"22.07.â€“28.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"23.07.2008";"Â";"35 %";"26 %";"11 %";"12 %";"13 %";"3 %";"Â";"3.240";"15.07.â€“21.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"15.07.2008";"Â";"34 %";"27 %";"10 %";"12 %";"13 %";"4 %";"Â";"3.193";"08.07.â€“14.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"08.07.2008";"Â";"36 %";"25 %";"10 %";"11 %";"14 %";"4 %";"Â";"3.212";"30.06.â€“07.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"02.07.2008";"Â";"35 %";"26 %";"10 %";"12 %";"13 %";"4 %";"Â";"3.175";"23.06.â€“30.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"24.06.2008";"Â";"34 %";"25 %";"10 %";"13 %";"14 %";"4 %";"Â";"3.216";"16.06.â€“23.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"18.06.2008";"Â";"34 %";"25 %";"10 %";"12 %";"15 %";"4 %";"Â";"4.102";"09.06.â€“16.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"11.06.2008";"Â";"33 %";"24 %";"11 %";"13 %";"15 %";"4 %";"Â";"3.197";"02.06.â€“09.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"03.06.2008";"Â";"35 %";"25 %";"10 %";"12 %";"14 %";"4 %";"Â";"4.574";"26.05.â€“02.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"27.05.2008";"Â";"34 %";"26 %";"10 %";"11 %";"14 %";"5 %";"Â";"3.797";"20.05.â€“26.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"21.05.2008";"Â";"34 %";"25 %";"10 %";"12 %";"15 %";"4 %";"Â";"4.557";"13.05.â€“19.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"14.05.2008";"Â";"35 %";"25 %";"11 %";"11 %";"13 %";"5 %";"Â";"6.356";"05.05.â€“13.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"06.05.2008";"Â";"35 %";"27 %";"10 %";"11 %";"13 %";"4 %";"Â";"5.905";"28.04.â€“05.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"29.04.2008";"Â";"36 %";"27 %";"11 %";"10 %";"13 %";"3 %";"Â";"5.941";"21.04.â€“28.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"23.04.2008";"Â";"37 %";"26 %";"10 %";"11 %";"13 %";"3 %";"Â";"4.988";"14.04.â€“21.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"15.04.2008";"Â";"37 %";"26 %";"10 %";"10 %";"13 %";"4 %";"Â";"4.529";"07.04.â€“14.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"08.04.2008";"Â";"36 %";"27 %";"10 %";"11 %";"13 %";"3 %";"Â";"4.177";"31.03.â€“07.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"02.04.2008";"Â";"36 %";"26 %";"11 %";"11 %";"13 %";"3 %";"Â";"4.610";"25.03.â€“31.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"26.03.2008";"Â";"37 %";"25 %";"11 %";"10 %";"14 %";"3 %";"Â";"2.297";"18.03.â€“22.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"19.03.2008";"Â";"37 %";"25 %";"10 %";"10 %";"14 %";"4 %";"Â";"4.180";"11.03.â€“17.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"11.03.2008";"Â";"37 %";"27 %";"10 %";"9 %";"13 %";"4 %";"Â";"5.526";"03.03.â€“10.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"04.03.2008";"Â";"37 %";"28 %";"9 %";"9 %";"14 %";"3 %";"Â";"4.644";"25.02.â€“03.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"02.03.2008";"Â";"36 %";"27 %";"9 %";"10 %";"14 %";"4 %";"Â";"1.348";"25.02.â€“27.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"26.02.2008";"Â";"36 %";"27 %";"10 %";"10 %";"13 %";"4 %";"Â";"5.086";"18.02.â€“25.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"19.02.2008";"Â";"36 %";"28 %";"9 %";"11 %";"12 %";"4 %";"Â";"3.684";"11.02.â€“18.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"12.02.2008";"Â";"35 %";"29 %";"9 %";"10 %";"13 %";"4 %";"Â";"3.225";"04.02.â€“11.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"05.02.2008";"Â";"35 %";"30 %";"9 %";"10 %";"13 %";"3 %";"Â";"4.612";"28.01.â€“04.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"29.01.2008";"Â";"36 %";"30 %";"10 %";"10 %";"11 %";"3 %";"Â";"3.196";"21.01.â€“28.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"22.01.2008";"Â";"37 %";"28 %";"10 %";"10 %";"11 %";"4 %";"Â";"3.664";"14.01.â€“21.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"16.01.2008";"Â";"38 %";"28 %";"10 %";"9 %";"11 %";"4 %";"Â";"3.655";"07.01.â€“14.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
"08.01.2008";"Â";"38 %";"28 %";"9 %";"10 %";"11 %";"4 %";"Â";"2.316";"02.01.â€“07.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2008.htm"
