"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"13.09.2005";"Â";"42,0 %";"33,5 %";"7,0 %";"6,5 %";"8,0 %";"3,0 %";"Â";"~2.000";"09.09.â€“12.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"10.09.2005";"Â";"40,5 %";"34,5 %";"7 %";"7 %";"8 %";"3 %";"Â";"Â";"Â";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"08.09.2005";"Â";"42 %";"33 %";"7 %";"7 %";"9 %";"2 %";"Â";"~3.000";"06.09.â€“07.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"07.09.2005";"Â";"42 %";"32 %";"7 %";"7 %";"9 %";"3 %";"Â";"4.058";"29.08.â€“05.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"01.09.2005";"Â";"42 %";"31 %";"7 %";"7 %";"10 %";"3 %";"Â";"~3.000";"29.08.â€“30.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"30.08.2005";"Â";"42 %";"30 %";"7 %";"7 %";"10 %";"4 %";"Â";"3.725";"22.08.â€“29.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"25.08.2005";"Â";"42 %";"30 %";"8 %";"7 %";"10 %";"3 %";"Â";"~3.000";"22.08.â€“24.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"23.08.2005";"Â";"42 %";"30 %";"8 %";"7 %";"10 %";"3 %";"Â";"3.157";"15.08.â€“22.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"18.08.2005";"Â";"42 %";"29 %";"7 %";"7 %";"11 %";"4 %";"Â";"~3.000";"16.08.â€“17.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"16.08.2005";"Â";"42 %";"29 %";"8 %";"7 %";"11 %";"3 %";"Â";"5.099";"08.08.â€“15.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"11.08.2005";"Â";"41 %";"28 %";"8 %";"8 %";"12 %";"3 %";"Â";"~3.000";"09.08.â€“10.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"10.08.2005";"Â";"42 %";"28 %";"7 %";"7 %";"12 %";"4 %";"Â";"5.528";"02.08.â€“08.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"04.08.2005";"Â";"43 %";"26 %";"8 %";"7 %";"13 %";"3 %";"Â";"~3.000";"01.08.â€“02.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"03.08.2005";"Â";"42 %";"26 %";"8 %";"8 %";"12 %";"4 %";"Â";"5.976";"25.07.â€“01.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"29.07.2005";"Â";"42 %";"26 %";"9 %";"8 %";"12 %";"3 %";"Â";"3.374";"21.07.â€“27.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"22.07.2005";"Â";"43 %";"27 %";"8 %";"7 %";"12 %";"3 %";"Â";"3.347";"13.07.â€“20.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"16.07.2005";"Â";"43 %";"27 %";"8 %";"7 %";"12 %";"3 %";"Â";"5.053";"08.07.â€“14.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"15.07.2005";"Â";"43 %";"27 %";"8 %";"7 %";"12 %";"3 %";"Â";"3.379";"08.07.â€“14.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"09.07.2005";"Â";"43 %";"28 %";"8 %";"7 %";"11 %";"3 %";"Â";"4.191";"06.06.â€“07.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"05.07.2005";"Â";"43 %";"27 %";"8 %";"7 %";"11 %";"4 %";"Â";"2.555";"27.06.â€“04.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"02.07.2005";"Â";"44 %";"26 %";"9 %";"7 %";"11 %";"3 %";"Â";"3.236";"23.06.â€“30.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"25.06.2005";"Â";"46 %";"27 %";"8 %";"7 %";"9 %";"3 %";"Â";"4.134";"16.06.â€“23.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"18.06.2005";"Â";"45 %";"27 %";"8 %";"7 %";"9 %";"4 %";"Â";"5.970";"09.06.â€“16.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"14.06.2005";"Â";"46 %";"28 %";"8 %";"7 %";"8 %";"3 %";"Â";"4.265";"06.06.â€“13.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"11.06.2005";"Â";"48 %";"27 %";"8 %";"7 %";"6 %";"4 %";"Â";"5.492";"02.06.â€“09.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"04.06.2005";"Â";"48 %";"28 %";"8 %";"6 %";"6 %";"4 %";"Â";"5.983";"25.05.â€“02.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"31.05.2005";"Â";"47 %";"29 %";"8 %";"6 %";"6 %";"4 %";"Â";"3.835";"23.05.â€“30.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"18.05.2005";"Â";"44 %";"29 %";"10 %";"8 %";"5 %";"4 %";"Â";"3.340";"09.05.â€“17.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"Â";"Â";"45 %";"28 %";"9 %";"8 %";"5 %";"5 %";"Â";"2.348";"02.05.â€“09.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"Â";"Â";"45 %";"29 %";"9 %";"7 %";"5 %";"5 %";"Â";"3.573";"25.04.â€“02.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"26.04.2005";"Â";"45 %";"29 %";"9 %";"7 %";"6 %";"4 %";"Â";"4.270";"18.04.â€“25.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"19.04.2005";"Â";"45 %";"29 %";"9 %";"7 %";"5 %";"5 %";"Â";"3.896";"11.04.â€“18.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"12.04.2005";"Â";"44 %";"30 %";"10 %";"7 %";"4 %";"5 %";"Â";"3.287";"04.04.â€“11.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"30.03.2005";"Â";"46 %";"29 %";"9 %";"7 %";"5 %";"4 %";"Â";"2.109";"21.03.â€“26.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"16.03.2005";"Â";"44 %";"29 %";"10 %";"6 %";"6 %";"5 %";"Â";"3.070";"07.03.â€“14.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"09.03.2005";"Â";"43 %";"32 %";"9 %";"7 %";"5 %";"4 %";"Â";"4.315";"28.02.â€“07.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"02.03.2005";"Â";"42 %";"32 %";"10 %";"7 %";"4 %";"5 %";"Â";"4.440";"21.02.â€“28.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"23.02.2005";"Â";"40 %";"32 %";"10 %";"8 %";"5 %";"5 %";"Â";"3.664";"14.02.â€“21.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"16.02.2005";"Â";"39 %";"32 %";"11 %";"7 %";"5 %";"6 %";"Â";"3.347";"07.02.â€“14.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"09.02.2005";"Â";"39 %";"33 %";"11 %";"7 %";"5 %";"5 %";"Â";"2.493";"31.01.â€“07.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"02.02.2005";"Â";"39 %";"33 %";"11 %";"8 %";"5 %";"4 %";"Â";"2.493";"24.01.â€“31.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"26.01.2005";"Â";"38 %";"33 %";"11 %";"8 %";"5 %";"5 %";"Â";"4.035";"17.01.â€“24.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"19.01.2005";"Â";"38 %";"33 %";"11 %";"8 %";"5 %";"5 %";"Â";"3.859";"10.01.â€“17.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"12.01.2005";"Â";"38 %";"34 %";"11 %";"8 %";"5 %";"4 %";"Â";"2.758";"03.01.â€“11.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
"05.01.2005";"Â";"37 %";"34 %";"11 %";"8 %";"6 %";"4 %";"Â";"1.470";"27.12.â€“04.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2005.htm"
