"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"NichtwÃ¤hler/Unentschlos.";"institut";"url"
"28.03.2008";"Â";"38,1 %";"27,9 %";"9,6 %";"11,6 %";"11,4 %";"1,4 %";"Â";"26,4 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"19.02.2008";"Â";"36,0 %";"28,6 %";"9,4 %";"10,3 %";"11,8 %";"3,9 %";"Â";"18,5 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"22.01.2008";"Â";"39,2 %";"29,0 %";"9,7 %";"9,2 %";"9,7 %";"3,2 %";"Â";"21,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"21.12.2007";"Â";"38,5 %";"28,4 %";"10,1 %";"10,2 %";"10,4 %";"2,4 %";"Â";"21,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"27.11.2007";"Â";"37,3 %";"29,1 %";"10,0 %";"9,3 %";"10,7 %";"3,6 %";"Â";"19,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"30.10.2007";"Â";"40,9 %";"28,9 %";"9,5 %";"8,4 %";"9,1 %";"3,2 %";"Â";"23,3 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"25.09.2007";"Â";"38,1 %";"27,8 %";"9,4 %";"8,8 %";"10,5 %";"5,4 %";"Â";"20,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"30.08.2007";"Â";"37,2 %";"27,8 %";"9,5 %";"9,2 %";"11,4 %";"4,9 %";"Â";"19,3 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"30.07.2007";"Â";"40,2 %";"27,4 %";"9,5 %";"9,2 %";"10,7 %";"3,0 %";"Â";"18,7 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"25.06.2007";"Â";"37,3 %";"28,9 %";"9,5 %";"10,1 %";"10,2 %";"4,0 %";"Â";"20,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"25.05.2007";"Â";"35,6 %";"28,5 %";"10,4 %";"9,7 %";"11,3 %";"4,5 %";"Â";"18,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.04.2007";"Â";"35,9 %";"28,0 %";"9,4 %";"11,6 %";"10,4 %";"4,7 %";"Â";"18,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"22.03.2007";"Â";"36,5 %";"30,7 %";"9,8 %";"8,8 %";"9,4 %";"3,8 %";"Â";"20,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.02.2007";"Â";"34,1 %";"29,7 %";"9,3 %";"11,7 %";"10,2 %";"5,4 %";"Â";"19,4 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"30.01.2007";"Â";"33,4 %";"30,9 %";"9,5 %";"12,0 %";"8,9 %";"5,3 %";"Â";"19,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"19.12.2006";"Â";"35,8 %";"31,4 %";"10,5 %";"10,3 %";"9,9 %";"2,1 %";"Â";"19,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"27.11.2006";"Â";"32,3 %";"31,0 %";"9,8 %";"11,7 %";"8,8 %";"6,4 %";"Â";"20,2 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"20.10.2006";"Â";"30,5 %";"31,1 %";"10,3 %";"14,2 %";"9,2 %";"4,7 %";"Â";"18,4 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"22.09.2006";"Â";"31,2 %";"28,3 %";"11,2 %";"15,0 %";"10,0 %";"4,3 %";"Â";"18,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"25.08.2006";"Â";"32,5 %";"30,1 %";"10,6 %";"12,9 %";"7,8 %";"6,1 %";"Â";"15,9 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"20.07.2006";"Â";"37,4 %";"32,6 %";"7,6 %";"11,3 %";"7,1 %";"4,0 %";"Â";"15,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"21.06.2006";"Â";"37,1 %";"29,8 %";"9,9 %";"11,1 %";"9,1 %";"3,0 %";"Â";"14,7 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.05.2006";"Â";"39,7 %";"30,9 %";"8,2 %";"10,2 %";"7,6 %";"3,4 %";"Â";"20,5 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"21.04.2006";"Â";"38,7 %";"32,5 %";"9,0 %";"9,0 %";"8,5 %";"2,3 %";"Â";"21,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.03.2006";"Â";"40,5 %";"29,4 %";"9,0 %";"9,9 %";"8,2 %";"3,0 %";"Â";"20,0 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"24.02.2006";"Â";"41,2 %";"31,3 %";"8,0 %";"9,8 %";"7,3 %";"2,4 %";"Â";"21,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"13.02.2006";"Â";"39,7 %";"33,2 %";"8,0 %";"8,0 %";"7,9 %";"3,1 %";"Â";"22,8 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"23.01.2006";"Â";"38,7 %";"30,5 %";"7,8 %";"11,3 %";"9,7 %";"2,0 %";"Â";"20,7 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"09.12.2005";"Â";"35,5 %";"34,8 %";"8,4 %";"9,4 %";"8,8 %";"3,1 %";"Â";"18,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"14.11.2005";"Â";"36,5 %";"33,5 %";"8,9 %";"10,5 %";"8,0 %";"2,6 %";"Â";"27,1 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"17.10.2005";"Â";"38,3 %";"32,5 %";"9,4 %";"9,9 %";"6,6 %";"3,2 %";"Â";"20,6 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
"Wahl 2005";"Â";"35,2 %";"34,2 %";"8,1 %";"9,8 %";"8,7 %";"3,9 %";"Â";"22,3 %";"gms";"http://www.wahlrecht.de/umfragen/gms/stimmung-2009.htm"
