"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"10.09.2004";"Â";"44 %";"26 %";"13 %";"6 %";"6 %";"5 %";"Â";"1.000";"07.09.â€“09.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"03.09.2004";"Â";"44 %";"26 %";"12 %";"6 %";"7 %";"5 %";"Â";"1.500";"31.08.â€“01.09.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"28.08.2004";"Â";"43 %";"25 %";"12 %";"7 %";"7 %";"6 %";"Â";"1.000";"24.08.â€“25.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"20.08.2004";"Â";"43 %";"24 %";"13 %";"6 %";"8 %";"6 %";"Â";"1.000";"17.08.â€“19.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"13.08.2004";"Â";"44 %";"24 %";"12 %";"7 %";"8 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"06.08.2004";"Â";"44 %";"23 %";"13 %";"8 %";"7 %";"5 %";"Â";"1.500";"03.08.â€“04.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"30.07.2004";"Â";"44 %";"25 %";"12 %";"7 %";"7 %";"5 %";"Â";"1.000";"27.07.â€“29.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"23.07.2004";"Â";"44 %";"25 %";"12 %";"7 %";"7 %";"5 %";"Â";"1.000";"20.07.â€“21.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"16.07.2004";"Â";"46 %";"23 %";"13 %";"7 %";"7 %";"4 %";"Â";"1.000";"13.07.â€“14.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"12.07.2004";"Â";"45 %";"23 %";"13 %";"7 %";"7 %";"5 %";"Â";"1.000";"06.07.â€“07.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"02.07.2004";"Â";"45 %";"23 %";"13 %";"7 %";"7 %";"5 %";"Â";"1.500";"29.06.â€“30.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"25.06.2004";"Â";"45 %";"24 %";"13 %";"7 %";"6 %";"5 %";"Â";"1.000";"22.06.â€“23.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"18.06.2004";"Â";"45 %";"24 %";"12 %";"8 %";"6 %";"5 %";"Â";"1.000";"15.06.â€“16.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"11.06.2004";"Â";"46 %";"26 %";"11 %";"8 %";"5 %";"4 %";"Â";"1.000";"08.06.â€“09.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"04.06.2004";"Â";"46 %";"27 %";"11 %";"6 %";"5 %";"5 %";"Â";"1.500";"01.06.â€“02.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"28.05.2004";"Â";"46 %";"27 %";"11 %";"7 %";"5 %";"4 %";"Â";"1.000";"24.05.â€“25.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"21.05.2004";"Â";"47 %";"26 %";"11 %";"6 %";"5 %";"5 %";"Â";"Â";"Â";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"14.05.2004";"Â";"47 %";"26 %";"12 %";"7 %";"4 %";"4 %";"Â";"1.000";"11.05.â€“13.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"07.05.2004";"Â";"46 %";"27 %";"12 %";"7 %";"4 %";"4 %";"Â";"1.200";"03.05.â€“05.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"30.04.2004";"Â";"47 %";"26 %";"11 %";"6 %";"5 %";"5 %";"Â";"1.000";"27.04.â€“28.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"23.04.2004";"Â";"46 %";"27 %";"11 %";"6 %";"5 %";"5 %";"Â";"1.000";"20.04.â€“21.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"16.04.2004";"Â";"46 %";"27 %";"11 %";"7 %";"5 %";"4 %";"Â";"1.000";"13.04.â€“14.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"08.04.2004";"Â";"46 %";"27 %";"11 %";"7 %";"5 %";"4 %";"Â";"1.000";"05.04.â€“06.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"02.04.2004";"Â";"47 %";"27 %";"11 %";"7 %";"5 %";"3 %";"Â";"1.200";"29.03.â€“31.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"26.03.2004";"Â";"48 %";"26 %";"11 %";"6 %";"5 %";"4 %";"Â";"1.000";"23.03.â€“24.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"19.03.2004";"Â";"48 %";"26 %";"12 %";"6 %";"4 %";"4 %";"Â";"1.000";"16.03.â€“18.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"12.03.2004";"Â";"49 %";"25 %";"11 %";"6 %";"5 %";"4 %";"Â";"1.000";"09.03.â€“10.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"05.03.2004";"Â";"50 %";"24 %";"11 %";"6 %";"5 %";"4 %";"Â";"1.200";"02.03.â€“03.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"27.02.2004";"Â";"47 %";"25 %";"11 %";"9 %";"5 %";"3 %";"Â";"1.000";"24.02.â€“25.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"20.02.2004";"Â";"47 %";"25 %";"11 %";"9 %";"5 %";"3 %";"Â";"1.000";"16.02.â€“17.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"13.02.2004";"Â";"48 %";"24 %";"11 %";"8 %";"5 %";"4 %";"Â";"1.000";"10.02.â€“11.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"06.02.2004";"Â";"49 %";"24 %";"11 %";"8 %";"5 %";"3 %";"Â";"1.200";"02.02.â€“04.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"30.01.2004";"Â";"48 %";"25 %";"11 %";"8 %";"5 %";"3 %";"Â";"1.000";"27.01.â€“28.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"23.01.2004";"Â";"47 %";"25 %";"12 %";"8 %";"5 %";"3 %";"Â";"1.000";"20.01.â€“21.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"16.01.2004";"Â";"48 %";"26 %";"11 %";"7 %";"5 %";"3 %";"Â";"1.000";"13.01.â€“14.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
"09.01.2004";"Â";"48 %";"26 %";"10 %";"7 %";"5 %";"4 %";"Â";"1.200";"05.01.â€“07.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2004.htm"
