"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"Linke.PDS";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"11.08.2005";"Â";"42 %";"29 %";"9 %";"6 %";"10 %";"4 %";"Â";"1.000";"09.08.â€“10.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"04.08.2005";"Â";"42 %";"29 %";"8 %";"6 %";"11 %";"4 %";"Â";"1.620";"01.08.â€“03.08.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"28.07.2005";"Â";"42 %";"28 %";"8 %";"7 %";"12 %";"3 %";"Â";"1.000";"26.07.â€“27.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"21.07.2005";"Â";"42 %";"27 %";"9 %";"7 %";"12 %";"3 %";"Â";"1.000";"19.07.â€“20.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"14.07.2005";"Â";"42 %";"27 %";"9 %";"8 %";"11 %";"3 %";"Â";"1.000";"12.07.â€“13.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"07.07.2005";"Â";"43 %";"27 %";"8 %";"7 %";"11 %";"4 %";"Â";"1.500";"04.07.â€“06.07.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"30.06.2005";"Â";"44 %";"27 %";"8 %";"7 %";"10 %";"4 %";"Â";"1.000";"28.06.â€“29.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"24.06.2005";"Â";"45 %";"27 %";"9 %";"7 %";"9 %";"3 %";"Â";"1.000";"21.06.â€“22.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"17.06.2005";"Â";"46 %";"28 %";"8 %";"7 %";"5 %";"WASG 3 %Sonst. 3 %";"Â";"1.000";"14.06.â€“15.06";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"10.06.2005";"Â";"47 %";"29 %";"9 %";"7 %";"5 %";"3 %";"Â";"1.000";"07.06.â€“08.06.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"02.06.2005";"Â";"48 %";"28 %";"9 %";"7 %";"4 %";"4 %";"Â";"1.500";"30.05.â€“31.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"27.05.2005";"Â";"47 %";"29 %";"8 %";"6 %";"5 %";"5 %";"Â";"1.000";"23.05.â€“24.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"23.05.2005";"Â";"46 %";"30 %";"7 %";"7 %";"5 %";"5 %";"Â";"1.000";"23.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"22.05.2005";"Â";"46 %";"29 %";"8 %";"8 %";"4 %";"5 %";"Â";"675";"20:15-22:00 Uhr";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"20.05.2005";"Â";"45 %";"29 %";"10 %";"7 %";"4 %";"5 %";"Â";"1.000";"17.05.â€“18.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"13.05.2005";"Â";"44 %";"29 %";"10 %";"8 %";"4 %";"5 %";"Â";"1.000";"10.05.â€“11.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"04.05.2005";"Â";"45 %";"29 %";"10 %";"7 %";"4 %";"5 %";"Â";"1.512";"02.05.â€“03.05.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"29.04.2005";"Â";"45 %";"29 %";"10 %";"6 %";"5 %";"5 %";"Â";"1.000";"26.04.â€“27.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"22.04.2005";"Â";"44 %";"30 %";"10 %";"6 %";"5 %";"5 %";"Â";"1.000";"19.04.â€“20.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"15.04.2005";"Â";"44 %";"29 %";"9 %";"7 %";"5 %";"6 %";"Â";"1.000";"12.04.â€“13.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"07.04.2005";"Â";"45 %";"29 %";"9 %";"7 %";"5 %";"5 %";"Â";"1.500";"04.04.â€“06.04.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"01.04.2005";"Â";"45 %";"29 %";"9 %";"7 %";"5 %";"5 %";"Â";"1.000";"29.03.â€“30.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"23.03.2005";"Â";"44 %";"30 %";"9 %";"7 %";"5 %";"5 %";"Â";"1.000";"21.03.â€“22.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"18.03.2005";"Â";"43 %";"30 %";"9 %";"7 %";"5 %";"6 %";"Â";"1.000";"15.03.â€“16.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"11.03.2005";"Â";"44 %";"30 %";"10 %";"6 %";"5 %";"5 %";"Â";"1.000";"08.03.â€“09.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"04.03.2005";"Â";"43 %";"31 %";"10 %";"6 %";"5 %";"5 %";"Â";"1.500";"01.03.â€“02.03.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"25.02.2005";"Â";"42 %";"31 %";"11 %";"6 %";"5 %";"5 %";"Â";"1.000";"22.02.â€“23.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"18.02.2005";"Â";"40 %";"32 %";"11 %";"7 %";"5 %";"5 %";"Â";"1.000";"15.02.â€“16.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"11.02.2005";"Â";"40 %";"31 %";"11 %";"7 %";"5 %";"6 %";"Â";"1.000";"08.02.â€“09.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"04.02.2005";"Â";"39 %";"32 %";"11 %";"7 %";"5 %";"6 %";"Â";"1.500";"01.02.â€“02.02.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"28.01.2005";"Â";"38 %";"33 %";"12 %";"7 %";"5 %";"5 %";"Â";"1.000";"25.01.â€“26.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"21.01.2005";"Â";"38 %";"33 %";"12 %";"8 %";"4 %";"5 %";"Â";"1.000";"18.01.â€“19.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"14.01.2005";"Â";"37 %";"33 %";"12 %";"8 %";"5 %";"5 %";"Â";"1.000";"11.01.â€“12.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
"07.01.2005";"Â";"38 %";"33 %";"12 %";"8 %";"5 %";"4 %";"Â";"1.500";"04.01.â€“05.01.";"dimap";"http://www.wahlrecht.de/umfragen/dimap/2005.htm"
