"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"16.10.2007";"Â";"39 %";"27 %";"10 %";"9 %";"11 %";"4 %";"Â";"4.589";"08.10.â€“15.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"10.10.2007";"Â";"38 %";"28 %";"10 %";"9 %";"11 %";"4 %";"Â";"4.130";"01.10.â€“08.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"01.10.2007";"Â";"37 %";"27 %";"11 %";"9 %";"12 %";"4 %";"Â";"5.046";"24.09.â€“29.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"25.09.2007";"Â";"35 %";"28 %";"10 %";"11 %";"12 %";"4 %";"Â";"4.132";"17.09.â€“24.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"18.09.2007";"Â";"38 %";"28 %";"10 %";"9 %";"11 %";"4 %";"Â";"2.750";"11.09.â€“17.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"11.09.2007";"Â";"37 %";"27 %";"10 %";"10 %";"12 %";"4 %";"Â";"4.117";"03.09.â€“10.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"04.09.2007";"Â";"37 %";"28 %";"9 %";"9 %";"12 %";"5 %";"Â";"5.024";"27.08.â€“03.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"28.08.2007";"Â";"36 %";"29 %";"9 %";"10 %";"12 %";"4 %";"Â";"4.587";"20.08.â€“27.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"21.08.2007";"Â";"36 %";"28 %";"9 %";"11 %";"12 %";"4 %";"Â";"2.749";"14.08.â€“20.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"15.08.2007";"Â";"36 %";"27 %";"10 %";"10 %";"13 %";"4 %";"Â";"4.135";"06.08.â€“13.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"08.08.2007";"Â";"36 %";"26 %";"10 %";"10 %";"13 %";"5 %";"Â";"5.058";"30.07.â€“06.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"01.08.2007";"Â";"37 %";"27 %";"9 %";"10 %";"13 %";"4 %";"Â";"4.142";"23.07.â€“30.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"25.07.2007";"Â";"37 %";"27 %";"10 %";"9 %";"13 %";"4 %";"Â";"3.217";"17.07.â€“23.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"18.07.2007";"Â";"36 %";"27 %";"9 %";"10 %";"14 %";"4 %";"Â";"3.657";"10.07.â€“16.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"11.07.2007";"Â";"36 %";"27 %";"10 %";"10 %";"13 %";"4 %";"Â";"3.248";"03.07.â€“09.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"04.07.2007";"Â";"36 %";"26 %";"10 %";"10 %";"14 %";"4 %";"Â";"3.211";"25.06.â€“02.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"26.06.2007";"Â";"36 %";"27 %";"10 %";"10 %";"14 %";"3 %";"Â";"2.759";"18.06.â€“23.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"19.06.2007";"Â";"36 %";"28 %";"10 %";"10 %";"13 %";"3 %";"Â";"5.493";"11.06.â€“18.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"12.06.2007";"Â";"36 %";"28 %";"9 %";"10 %";"12 %";"5 %";"Â";"3.669";"04.06.â€“11.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"06.06.2007";"Â";"34 %";"29 %";"11 %";"10 %";"12 %";"4 %";"Â";"5.047";"29.05.â€“04.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"29.05.2007";"Â";"34 %";"30 %";"11 %";"10 %";"11 %";"4 %";"Â";"5.544";"21.05.â€“26.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"22.05.2007";"Â";"35 %";"29 %";"11 %";"10 %";"11 %";"4 %";"Â";"3.639";"16.05.â€“21.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"20.05.2007";"Â";"34 %";"30 %";"11 %";"11 %";"11 %";"3 %";"Â";"2.599";"09.05.â€“15.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"15.05.2007";"Â";"35 %";"29 %";"11 %";"11 %";"10 %";"4 %";"Â";"3.689";"07.05.â€“14.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"08.05.2007";"Â";"36 %";"30 %";"11 %";"10 %";"9 %";"4 %";"Â";"5.683";"30.04.â€“07.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"02.05.2007";"Â";"37 %";"29 %";"10 %";"10 %";"10 %";"4 %";"Â";"5.083";"23.04.â€“30.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"24.04.2007";"Â";"37 %";"29 %";"9 %";"10 %";"11 %";"4 %";"Â";"4.628";"16.04.â€“23.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"17.04.2007";"Â";"35 %";"30 %";"10 %";"10 %";"10 %";"5 %";"Â";"3.243";"10.04.â€“16.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"11.04.2007";"Â";"35 %";"29 %";"11 %";"10 %";"10 %";"5 %";"Â";"3.669";"02.04.â€“10.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"03.04.2007";"Â";"36 %";"30 %";"10 %";"10 %";"10 %";"4 %";"Â";"5.554";"26.03.â€“02.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"27.03.2007";"Â";"35 %";"30 %";"11 %";"10 %";"9 %";"5 %";"Â";"4.154";"20.03.â€“26.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"20.03.2007";"Â";"36 %";"29 %";"11 %";"10 %";"9 %";"5 %";"Â";"4.634";"12.03.â€“19.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"13.03.2007";"Â";"35 %";"29 %";"11 %";"11 %";"9 %";"5 %";"Â";"2.763";"05.03.â€“12.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"06.03.2007";"Â";"34 %";"30 %";"10 %";"11 %";"10 %";"5 %";"Â";"6.001";"26.02.â€“05.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"27.02.2007";"Â";"33 %";"29 %";"11 %";"11 %";"10 %";"6 %";"Â";"4.631";"19.02.â€“26.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"21.02.2007";"Â";"33 %";"30 %";"11 %";"12 %";"10 %";"4 %";"Â";"3.230";"12.02.â€“19.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"14.02.2007";"Â";"33 %";"30 %";"11 %";"11 %";"10 %";"5 %";"Â";"4.592";"05.02.â€“12.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"06.02.2007";"Â";"34 %";"30 %";"11 %";"12 %";"9 %";"4 %";"Â";"3.206";"29.01.â€“05.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"30.01.2007";"Â";"33 %";"31 %";"10 %";"13 %";"9 %";"4 %";"Â";"5.500";"22.01.â€“29.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"24.01.2007";"Â";"35 %";"31 %";"10 %";"12 %";"8 %";"4 %";"Â";"4.124";"15.01.â€“22.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"17.01.2007";"Â";"34 %";"30 %";"11 %";"12 %";"9 %";"4 %";"Â";"5.078";"08.01.â€“15.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"10.01.2007";"Â";"34 %";"30 %";"11 %";"11 %";"9 %";"5 %";"Â";"2.299";"02.01.â€“06.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
"03.01.2007";"Â";"33 %";"29 %";"11 %";"11 %";"10 %";"6 %";"Â";"1.387";"28.12.â€“02.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid/2007.htm"
