"datum";"Â.1";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"REP";"Sonstige";"institut";"url"
"16.06.1999";"Â";"39,7 %";"35,6 %";"6,6 %";"7,7 %";"5,8 %";"1,9 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.05.1999";"Â";"36,8 %";"37,3 %";"7,8 %";"7,0 %";"5,9 %";"3,4 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"14.04.1999";"Â";"37,9 %";"37,6 %";"6,5 %";"7,5 %";"5,5 %";"2,3 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.03.1999";"Â";"38,7 %";"37,0 %";"6,8 %";"7,4 %";"5,7 %";"1,7 %";"2,7 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.12.1998";"Â";"36,3 %";"39,4 %";"7,2 %";"6,0 %";"â€“";"â€“";"â€“";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"27.09.1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"1,8 %";"4,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"26.09.1998";"Â";"36,0 %";"40,5 %";"6,0 %";"6,5 %";"5,0 %";"â€“";"6,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"23.09.1998";"Â";"36,1 %";"41,1 %";"7,0 %";"6,5 %";"4,7 %";"â€“";"4,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"16.09.1998";"Â";"35,5 %";"41,4 %";"7,0 %";"6,6 %";"5,0 %";"â€“";"4,5 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"09.09.1998";"Â";"35,6 %";"40,8 %";"7,5 %";"7,2 %";"4,5 %";"2,1 %";"2,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"02.09.1998";"Â";"35,5 %";"41,1 %";"7,0 %";"6,1 %";"4,9 %";"2,4 %";"3,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"26.08.1998";"Â";"35,2 %";"42,7 %";"6,3 %";"6,0 %";"5,3 %";"1,2 %";"3,3 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"19.08.1998";"Â";"34,5 %";"42,9 %";"7,0 %";"5,8 %";"5,2 %";"2,0 %";"2,6 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"12.08.1998";"Â";"33,0 %";"43,8 %";"7,0 %";"6,6 %";"5,2 %";"1,6 %";"2,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"17.06.1998";"Â";"31,1 %";"44,4 %";"7,6 %";"6,9 %";"5,7 %";"2,3 %";"2,0 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"20.05.1998";"Â";"31,0 %";"45,5 %";"7,5 %";"5,7 %";"5,9 %";"1,5 %";"2,9 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"29.04.1998";"Â";"31,3 %";"45,2 %";"8,5 %";"5,8 %";"5,2 %";"2,8 %";"1,2 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
"25.03.1998";"Â";"32,1 %";"42,7 %";"10,2 %";"5,8 %";"5,4 %";"2,0 %";"1,8 %";"allensbach";"http://www.wahlrecht.de/umfragen/allensbach/2002.htm"
