"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"institut";"url"
"12.10.2001";"Â";"39 %";"43 %";"6 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"14.09.2001";"Â";"39 %";"43 %";"6 %";"6 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"24.08.2001";"Â";"39 %";"38 %";"8 %";"7 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"20.07.2001";"Â";"36 %";"42 %";"6 %";"10 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"22.06.2001";"Â";"37 %";"42 %";"6 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"18.05.2001";"Â";"36 %";"42 %";"6 %";"10 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"06.04.2001";"Â";"39 %";"42 %";"7 %";"6 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"16.03.2001";"Â";"38 %";"43 %";"8 %";"5 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"16.02.2001";"Â";"35 %";"48 %";"5 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"19.01.2001";"Â";"37 %";"44 %";"6 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"15.12.2000";"Â";"39 %";"44 %";"6 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"17.11.2000";"Â";"39 %";"44 %";"6 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"17.11.2000";"Â";"39 %";"44 %";"6 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"20.10.2000";"Â";"37 %";"43 %";"7 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"22.09.2000";"Â";"42 %";"39 %";"6 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"25.08.2000";"Â";"35 %";"48 %";"6 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"28.07.2000";"Â";"39 %";"46 %";"6 %";"6 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"23.06.2000";"Â";"44 %";"35 %";"7 %";"8 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"19.05.2000";"Â";"40 %";"41 %";"6 %";"7 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"14.04.2000";"Â";"39 %";"43 %";"6 %";"5 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"17.03.2000";"Â";"33 %";"47 %";"6 %";"6 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"18.02.2000";"Â";"29 %";"47 %";"9 %";"7 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"21.01.2000";"Â";"32 %";"45 %";"8 %";"5 %";"6 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"10.12.1999";"Â";"43 %";"41 %";"6 %";"3 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"12.11.1999";"Â";"55 %";"31 %";"5 %";"3 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"15.10.1999";"Â";"55 %";"28 %";"7 %";"3 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"24.09.1999";"Â";"56 %";"28 %";"5 %";"3 %";"5 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"20.08.1999";"Â";"53 %";"30 %";"5 %";"4 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"23.07.1999";"Â";"50 %";"35 %";"7 %";"3 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"25.06.1999";"Â";"53 %";"32 %";"5 %";"3 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"21.05.1999";"Â";"45 %";"40 %";"4 %";"4 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"16.04.1999";"Â";"43 %";"42 %";"6 %";"3 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"19.03.1999";"Â";"45 %";"40 %";"5 %";"3 %";"4 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"26.02.1999";"Â";"44 %";"43 %";"6 %";"3 %";"2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"22.01.1999";"Â";"38 %";"46 %";"7 %";"2 %";"3 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"11.12.1998";"Â";"35,7 %";"48,2 %";"7,7 %";"3,3 %";"2,8 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"13.11.1998";"Â";"36,0 %";"47,1 %";"7,8 %";"3,1 %";"3,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"16.10.1998";"Â";"35,9 %";"49,6 %";"6,3 %";"4,0 %";"2,2 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
"Wahl 1998";"Â";"35,1 %";"40,9 %";"6,7 %";"6,2 %";"5,1 %";"politbarometer";"http://www.wahlrecht.de/umfragen/politbarometer/stimmung-2002.htm"
