"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"LINKE";"AfD";"Sonstige";"Â";"Befragte";"Zeitraum";"institut";"url"
"24.02.2018";"Â";"33 %";"17 %";"11 %";"10 %";"11 %";"15 %";"3 %";"Â";"1.985";"15.02.â€“21.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"17.02.2018";"Â";"33 %";"19 %";"11 %";"9 %";"10 %";"14 %";"4 %";"Â";"1.478";"08.02.â€“14.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"10.02.2018";"Â";"34 %";"20 %";"11 %";"9 %";"9 %";"12 %";"5 %";"Â";"1.226";"01.02.â€“07.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"03.02.2018";"Â";"33 %";"20 %";"11 %";"9 %";"10 %";"13 %";"4 %";"Â";"1.247";"25.01.â€“31.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"27.01.2018";"Â";"34 %";"20 %";"11 %";"8 %";"10 %";"12 %";"5 %";"Â";"1.513";"18.01.â€“24.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"20.01.2018";"Â";"33 %";"21 %";"10 %";"8 %";"10 %";"13 %";"5 %";"Â";"1.419";"11.01.â€“17.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"13.01.2018";"Â";"34 %";"21 %";"11 %";"8 %";"9 %";"13 %";"4 %";"Â";"1.899";"04.01.â€“10.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"06.01.2018";"Â";"33 %";"20 %";"12 %";"9 %";"9 %";"12 %";"5 %";"Â";"1.440";"21.12.â€“03.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"23.12.2017";"Â";"33 %";"21 %";"11 %";"8 %";"10 %";"12 %";"5 %";"Â";"1.861";"14.12.â€“20.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"16.12.2017";"Â";"32 %";"22 %";"11 %";"8 %";"9 %";"13 %";"5 %";"Â";"1.865";"07.12.â€“13.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.12.2017";"Â";"33 %";"21 %";"11 %";"9 %";"10 %";"12 %";"4 %";"Â";"1.880";"30.11.â€“06.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"02.12.2017";"Â";"33 %";"21 %";"10 %";"9 %";"10 %";"12 %";"5 %";"Â";"1.888";"23.11.â€“29.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"25.11.2017";"Â";"33 %";"22 %";"10 %";"9 %";"10 %";"11 %";"5 %";"Â";"1.225";"20.11.â€“23.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"18.11.2017";"Â";"31 %";"21 %";"11 %";"10 %";"9 %";"13 %";"5 %";"Â";"1.842";"09.11.â€“15.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"11.11.2017";"Â";"30 %";"22 %";"10 %";"11 %";"10 %";"13 %";"4 %";"Â";"1.392";"02.11.â€“08.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"04.11.2017";"Â";"31 %";"21 %";"11 %";"10 %";"10 %";"12 %";"5 %";"Â";"1.476";"26.10.â€“30.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"28.10.2017";"Â";"31 %";"22 %";"10 %";"11 %";"9 %";"12 %";"5 %";"Â";"2.296";"19.10.â€“25.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"21.10.2017";"Â";"32 %";"21 %";"10 %";"11 %";"9 %";"12 %";"5 %";"Â";"2.304";"12.10.â€“18.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"14.10.2017";"Â";"31 %";"21 %";"10 %";"11 %";"10 %";"12 %";"5 %";"Â";"1.960";"05.10.â€“11.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"07.10.2017";"Â";"32 %";"22 %";"9 %";"10 %";"10 %";"12 %";"5 %";"Â";"1.490";"28.09.â€“04.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"30.09.2017";"Â";"33 %";"21 %";"10 %";"11 %";"10 %";"12 %";"3 %";"Â";"1.038";"25.09.â€“27.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"24.09.2017";"Â";"32,9 %";"20,5 %";"8,9 %";"10,7 %";"9,2 %";"12,6 %";"5,0 %";"Â";"Bundestagswahl";"Bundestagswahl";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"22.09.2017";"Â";"35 %";"22 %";"8 %";"9 %";"10 %";"11 %";"5 %";"Â";"1.994";"14.09.â€“21.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"16.09.2017";"Â";"36 %";"22 %";"8 %";"9 %";"10 %";"11 %";"4 %";"Â";"1.888";"07.09.â€“13.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.09.2017";"Â";"37 %";"24 %";"8 %";"8 %";"9 %";"9 %";"5 %";"Â";"1.869";"31.08.â€“06.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"02.09.2017";"Â";"38 %";"24 %";"8 %";"8 %";"9 %";"8 %";"5 %";"Â";"1.889";"24.08.â€“30.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"26.08.2017";"Â";"38 %";"23 %";"7 %";"9 %";"9 %";"8 %";"6 %";"Â";"1.979";"17.08.â€“23.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"19.08.2017";"Â";"39 %";"24 %";"8 %";"8 %";"9 %";"7 %";"5 %";"Â";"1.426";"10.08.â€“16.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"12.08.2017";"Â";"38 %";"24 %";"7 %";"8 %";"10 %";"8 %";"5 %";"Â";"1.886";"03.08.â€“09.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"05.08.2017";"Â";"38 %";"23 %";"8 %";"8 %";"10 %";"8 %";"5 %";"Â";"2.453";"27.07.â€“02.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"29.07.2017";"Â";"38 %";"24 %";"8 %";"8 %";"9 %";"9 %";"4 %";"Â";"1.921";"20.07.â€“26.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"22.07.2017";"Â";"38 %";"25 %";"8 %";"8 %";"9 %";"8 %";"4 %";"Â";"2.349";"13.07.â€“19.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"15.07.2017";"Â";"38 %";"25 %";"8 %";"7 %";"9 %";"8 %";"5 %";"Â";"1.263";"06.07.â€“12.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"08.07.2017";"Â";"38 %";"25 %";"8 %";"8 %";"9 %";"7 %";"5 %";"Â";"1.878";"30.06.â€“05.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"01.07.2017";"Â";"39 %";"24 %";"8 %";"8 %";"9 %";"7 %";"5 %";"Â";"936";"22.06.â€“24.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"24.06.2017";"Â";"39 %";"24 %";"8 %";"7 %";"9 %";"8 %";"5 %";"Â";"1.363";"16.06.â€“21.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"17.06.2017";"Â";"39 %";"25 %";"7 %";"7 %";"9 %";"8 %";"5 %";"Â";"2.054";"08.06.â€“13.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"10.06.2017";"Â";"39 %";"25 %";"8 %";"7 %";"9 %";"8 %";"4 %";"Â";"1.398";"01.06.â€“07.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"03.06.2017";"Â";"38 %";"27 %";"7 %";"7 %";"8 %";"8 %";"5 %";"Â";"1.838";"24.05.â€“31.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"27.05.2017";"Â";"38 %";"25 %";"8 %";"8 %";"8 %";"8 %";"5 %";"Â";"1.703";"18.05.â€“23.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"20.05.2017";"Â";"38 %";"26 %";"7 %";"7 %";"9 %";"8 %";"5 %";"Â";"2.413";"11.05.â€“17.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"13.05.2017";"Â";"37 %";"27 %";"8 %";"6 %";"10 %";"8 %";"4 %";"Â";"1.837";"04.05.â€“10.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"06.05.2017";"Â";"36 %";"28 %";"7 %";"6 %";"9 %";"9 %";"5 %";"Â";"1.935";"27.04.â€“03.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"29.04.2017";"Â";"36 %";"29 %";"7 %";"6 %";"9 %";"9 %";"4 %";"Â";"2.439";"20.04.â€“26.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"22.04.2017";"Â";"36 %";"31 %";"6 %";"5 %";"9 %";"9 %";"4 %";"Â";"1.412";"13.04.â€“19.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"15.04.2017";"Â";"35 %";"31 %";"7 %";"6 %";"9 %";"9 %";"3 %";"Â";"2.436";"06.04.â€“12.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"08.04.2017";"Â";"35 %";"33 %";"7 %";"5 %";"8 %";"9 %";"3 %";"Â";"1.958";"30.03.â€“05.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"01.04.2017";"Â";"33 %";"33 %";"7 %";"6 %";"8 %";"8 %";"5 %";"Â";"2.416";"23.03.â€“29.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"25.03.2017";"Â";"33 %";"33 %";"8 %";"5 %";"8 %";"9 %";"4 %";"Â";"2.450";"16.03.â€“22.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"18.03.2017";"Â";"33 %";"32 %";"8 %";"5 %";"8 %";"9 %";"5 %";"Â";"1.832";"09.03.â€“15.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"11.03.2017";"Â";"33 %";"33 %";"7 %";"6 %";"8 %";"8 %";"5 %";"Â";"1.882";"02.03.â€“08.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"04.03.2017";"Â";"33 %";"32 %";"7 %";"6 %";"8 %";"10 %";"4 %";"Â";"1.403";"23.02.â€“01.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"25.02.2017";"Â";"32 %";"32 %";"7 %";"7 %";"8 %";"9 %";"5 %";"Â";"1.880";"16.02.â€“22.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"18.02.2017";"Â";"32 %";"33 %";"7 %";"6 %";"8 %";"9 %";"5 %";"Â";"1.885";"09.02.â€“15.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"11.02.2017";"Â";"33 %";"32 %";"7 %";"6 %";"8 %";"10 %";"4 %";"Â";"1.966";"02.02.â€“08.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"04.02.2017";"Â";"33 %";"29 %";"8 %";"6 %";"8 %";"11 %";"5 %";"Â";"2.233";"26.01.â€“02.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"28.01.2017";"Â";"37 %";"23 %";"10 %";"6 %";"10 %";"11 %";"3 %";"Â";"1.996";"19.01.â€“25.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"21.01.2017";"Â";"36 %";"21 %";"9 %";"6 %";"11 %";"12 %";"5 %";"Â";"2.805";"12.01.â€“18.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"14.01.2017";"Â";"37 %";"21 %";"10 %";"6 %";"10 %";"12 %";"4 %";"Â";"1.878";"06.01.â€“11.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"07.01.2017";"Â";"38 %";"22 %";"10 %";"5 %";"9 %";"12 %";"4 %";"Â";"834";"03.01.â€“05.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"24.12.2016";"Â";"36 %";"21 %";"10 %";"6 %";"10 %";"13 %";"4 %";"Â";"2.326";"15.12.â€“21.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"17.12.2016";"Â";"36 %";"22 %";"11 %";"5 %";"10 %";"12 %";"4 %";"Â";"2.411";"08.12.â€“14.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"10.12.2016";"Â";"36 %";"22 %";"10 %";"5 %";"10 %";"13 %";"4 %";"Â";"2.426";"01.12.â€“07.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"03.12.2016";"Â";"37 %";"22 %";"11 %";"5 %";"10 %";"12 %";"3 %";"Â";"2.658";"24.11.â€“30.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"26.11.2016";"Â";"35 %";"23 %";"11 %";"5 %";"9 %";"12 %";"5 %";"Â";"2.426";"17.11.â€“23.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"19.11.2016";"Â";"33 %";"24 %";"12 %";"5 %";"9 %";"13 %";"4 %";"Â";"2.859";"10.11.â€“16.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"12.11.2016";"Â";"34 %";"23 %";"11 %";"5 %";"10 %";"12 %";"5 %";"Â";"2.782";"03.11.â€“09.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"05.11.2016";"Â";"34 %";"22 %";"11 %";"5 %";"10 %";"12 %";"6 %";"Â";"1.678";"27.10.â€“02.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"29.10.2016";"Â";"34 %";"23 %";"11 %";"5 %";"10 %";"12 %";"5 %";"Â";"1.840";"20.10.â€“26.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"22.10.2016";"Â";"33 %";"23 %";"11 %";"5 %";"10 %";"13 %";"5 %";"Â";"1.961";"13.10.â€“19.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"15.10.2016";"Â";"32 %";"24 %";"11 %";"6 %";"9 %";"13 %";"5 %";"Â";"2.827";"06.10.â€“12.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"08.10.2016";"Â";"32 %";"23 %";"12 %";"6 %";"10 %";"12 %";"5 %";"Â";"1.866";"29.09.â€“05.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"01.10.2016";"Â";"32 %";"23 %";"11 %";"7 %";"10 %";"12 %";"5 %";"Â";"1.939";"22.09.â€“28.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"24.09.2016";"Â";"32 %";"23 %";"11 %";"6 %";"9 %";"14 %";"5 %";"Â";"2.798";"15.09.â€“21.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"17.09.2016";"Â";"32 %";"24 %";"11 %";"5 %";"9 %";"14 %";"5 %";"Â";"2.780";"08.09.â€“14.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"10.09.2016";"Â";"33 %";"23 %";"11 %";"6 %";"9 %";"13 %";"5 %";"Â";"2.423";"01.09.â€“07.09.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"03.09.2016";"Â";"34 %";"23 %";"11 %";"6 %";"9 %";"12 %";"5 %";"Â";"1.966";"25.08.â€“31.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"27.08.2016";"Â";"34 %";"22 %";"12 %";"5 %";"10 %";"11 %";"6 %";"Â";"1.981";"18.08.â€“24.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"20.08.2016";"Â";"34 %";"23 %";"13 %";"5 %";"9 %";"10 %";"6 %";"Â";"2.358";"11.08.â€“17.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"13.08.2016";"Â";"34 %";"22 %";"12 %";"6 %";"10 %";"11 %";"5 %";"Â";"2.352";"04.08.â€“10.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"06.08.2016";"Â";"34 %";"22 %";"12 %";"6 %";"10 %";"11 %";"5 %";"Â";"2.815";"28.07.â€“03.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"30.07.2016";"Â";"35 %";"23 %";"11 %";"5 %";"9 %";"12 %";"5 %";"Â";"2.815";"21.07.â€“27.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"23.07.2016";"Â";"35 %";"23 %";"12 %";"5 %";"10 %";"10 %";"5 %";"Â";"1.870";"14.07.â€“20.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"16.07.2016";"Â";"35 %";"24 %";"12 %";"5 %";"9 %";"10 %";"5 %";"Â";"1.973";"07.07.â€“13.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.07.2016";"Â";"35 %";"23 %";"13 %";"5 %";"9 %";"10 %";"5 %";"Â";"1.402";"02.07.â€“06.07.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"02.07.2016";"Â";"33 %";"23 %";"12 %";"6 %";"10 %";"11 %";"5 %";"Â";"1.936";"23.06.â€“29.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"25.06.2016";"Â";"32 %";"23 %";"13 %";"6 %";"9 %";"12 %";"5 %";"Â";"1.905";"16.06.â€“22.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"18.06.2016";"Â";"33 %";"22 %";"13 %";"6 %";"9 %";"12 %";"5 %";"Â";"2.744";"09.06.â€“15.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"11.06.2016";"Â";"34 %";"21 %";"14 %";"6 %";"9 %";"11 %";"5 %";"Â";"1.838";"02.06.â€“08.08.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"04.06.2016";"Â";"33 %";"22 %";"13 %";"6 %";"9 %";"12 %";"5 %";"Â";"1.851";"25.05.â€“01.06.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"28.05.2016";"Â";"33 %";"21 %";"12 %";"6 %";"9 %";"14 %";"5 %";"Â";"2.881";"19.05.â€“24.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"21.05.2016";"Â";"32 %";"22 %";"12 %";"6 %";"9 %";"13 %";"6 %";"Â";"1.485";"13.05.â€“18.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"14.05.2016";"Â";"33 %";"23 %";"13 %";"5 %";"9 %";"13 %";"4 %";"Â";"1.922";"06.05.â€“11.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"07.05.2016";"Â";"32 %";"22 %";"12 %";"6 %";"9 %";"14 %";"5 %";"Â";"1.838";"28.04.â€“03.05.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"30.04.2016";"Â";"33 %";"22 %";"12 %";"6 %";"9 %";"13 %";"5 %";"Â";"2.805";"21.04.â€“27.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"23.04.2016";"Â";"33 %";"22 %";"13 %";"6 %";"9 %";"12 %";"5 %";"Â";"2.393";"14.04.â€“20.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"16.04.2016";"Â";"33 %";"22 %";"13 %";"7 %";"9 %";"11 %";"5 %";"Â";"1.941";"07.04.â€“13.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.04.2016";"Â";"34 %";"22 %";"13 %";"7 %";"8 %";"12 %";"4 %";"Â";"2.240";"31.03.â€“06.04.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"02.04.2016";"Â";"33 %";"22 %";"13 %";"6 %";"8 %";"13 %";"5 %";"Â";"1.405";"24.03.â€“30.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"26.03.2016";"Â";"34 %";"22 %";"13 %";"6 %";"9 %";"12 %";"4 %";"Â";"2.828";"17.03.â€“23.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"19.03.2016";"Â";"34 %";"22 %";"13 %";"6 %";"9 %";"13 %";"3 %";"Â";"2.424";"10.03.â€“16.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"12.03.2016";"Â";"36 %";"24 %";"11 %";"5 %";"9 %";"11 %";"4 %";"Â";"2.340";"03.03.â€“09.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"05.03.2016";"Â";"35 %";"24 %";"10 %";"5 %";"10 %";"11 %";"5 %";"Â";"1.869";"25.02.â€“02.03.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"27.02.2016";"Â";"36 %";"24 %";"10 %";"5 %";"9 %";"11 %";"5 %";"Â";"1.978";"18.02.â€“24.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"20.02.2016";"Â";"35 %";"24 %";"10 %";"4 %";"10 %";"12 %";"5 %";"Â";"2.409";"11.02.â€“17.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"13.02.2016";"Â";"35 %";"24 %";"9 %";"5 %";"9 %";"12 %";"6 %";"Â";"2.090";"04.02.â€“10.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"06.02.2016";"Â";"35 %";"24 %";"9 %";"4 %";"10 %";"12 %";"6 %";"Â";"2.306";"28.01.â€“03.02.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"30.01.2016";"Â";"34 %";"24 %";"9 %";"5 %";"10 %";"12 %";"6 %";"Â";"1.638";"21.01.â€“27.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"23.01.2016";"Â";"36 %";"25 %";"9 %";"5 %";"9 %";"10 %";"6 %";"Â";"1.875";"14.01.â€“20.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"16.01.2016";"Â";"38 %";"24 %";"10 %";"5 %";"9 %";"9 %";"5 %";"Â";"2.016";"07.01.â€“13.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"09.01.2016";"Â";"39 %";"23 %";"10 %";"4 %";"10 %";"8 %";"6 %";"Â";"940";"05.01.â€“06.01.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"26.12.2015";"Â";"39 %";"24 %";"9 %";"4 %";"10 %";"9 %";"5 %";"Â";"1.832";"17.12.â€“22.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"19.12.2015";"Â";"38 %";"25 %";"9 %";"5 %";"9 %";"8 %";"6 %";"Â";"2.821";"10.12.â€“16.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"12.12.2015";"Â";"37 %";"26 %";"9 %";"4 %";"10 %";"8 %";"6 %";"Â";"2.321";"03.12.â€“09.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"05.12.2015";"Â";"37 %";"25 %";"10 %";"4 %";"10 %";"8 %";"6 %";"Â";"2.352";"26.11.â€“02.12.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"28.11.2015";"Â";"38 %";"25 %";"10 %";"4 %";"10 %";"8 %";"5 %";"Â";"2.356";"19.11.â€“25.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"21.11.2015";"Â";"37 %";"26 %";"9 %";"5 %";"9 %";"7 %";"7 %";"Â";"2.319";"12.11.â€“18.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"14.11.2015";"Â";"37 %";"25 %";"10 %";"5 %";"9 %";"8 %";"6 %";"Â";"2.412";"05.11.â€“11.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"07.11.2015";"Â";"36 %";"26 %";"10 %";"4 %";"9 %";"9 %";"6 %";"Â";"2.442";"29.10.â€“04.11.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
"31.10.2015";"Â";"36 %";"25 %";"10 %";"5 %";"10 %";"8 %";"6 %";"Â";"1.869";"22.10.â€“28.10.";"emnid";"http://www.wahlrecht.de/umfragen/emnid.htm"
