;Cas;X1;Y1;Z1;X2;Y2;Z2;level1;level2;aim;
10;1007;41%;30%;29%;54%;53%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
10;1008;41%;30%;29%;54%;47%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
11;1107;41%;30%;29%;46%;47%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
11;1108;41%;30%;29%;46%;53%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
13;1315;41%;30%;29%;54%;47%;45%;no incentives to strategic voting;;no;38
13;1316;41%;30%;29%;54%;53%;45%;no incentives to strategic voting;;no;38
9;903;41%;31%;28%;46%;47%;45%;incentives to switch from PS to FN ;incentives to switch from FN to LR  if LR preferred to PS;1st & 2nd choice;93
9;904;41%;31%;28%;46%;53%;45%;incentives to switch from PS to FN ;incentives to switch from FN to LR  if LR preferred to PS;1st & 2nd choice;93
10;1003;41%;31%;28%;54%;53%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
10;1004;41%;31%;28%;54%;47%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
11;1103;41%;31%;28%;46%;47%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
11;1104;41%;31%;28%;46%;53%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
13;1307;41%;31%;28%;54%;47%;45%;no incentives to strategic voting;;no;38
13;1308;41%;31%;28%;54%;53%;45%;no incentives to strategic voting;;no;38
9;911;41%;32%;27%;46%;47%;45%;incentives to switch from PS to FN ;incentives to switch from FN to LR  if LR preferred to PS;1st & 2nd choice;93
9;912;41%;32%;27%;46%;53%;45%;incentives to switch from PS to FN ;incentives to switch from FN to LR  if LR preferred to PS;1st & 2nd choice;93
10;1011;41%;32%;27%;54%;53%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
10;1012;41%;32%;27%;54%;47%;55%;incentives to switch from PS to LR;incentives to switch from LR to FN if FN preferred to PS;1st & 2nd choice;93
11;1111;41%;32%;27%;46%;47%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
11;1112;41%;32%;27%;46%;53%;55%;incentives to switch from PS to LR  if LR preferred to FN or PS to FN  if FN preferred to LR;;2nd choice;93
13;1323;41%;32%;27%;54%;47%;45%;no incentives to strategic voting;;no;38
13;1324;41%;32%;27%;54%;53%;45%;no incentives to strategic voting;;no;38
