Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Duflot;Jadot;Hollande;Valls;Montebourg;Macron;Bayrou;Juppé;Sarkozy;Fillon;Le Maire;Kosciusko-Morizet;Copé;Dupont-Aignan;Le Pen;Cheminade
Ifop-Fiducial;17–20 Oct 2016;1,827;–;1%;1.5%;14%;2%;–;14%;–;–;–;–;35%;–;–;–;–;–;5%;27%;0.5%
;;;;0.5%;1.5%;14.5%;2.5%;–;15%;–;–;–;12.5%;–;23%;–;–;–;–;5%;25%;0.5%
;;;;1%;1.5%;14.5%;2.5%;–;15%;–;–;–;11.5%;–;–;20%;–;–;–;5%;29%;<0.5%
;;;;1%;1.5%;15%;2%;–;16%;–;–;–;12.5%;–;–;–;19%;–;–;4.5%;28.5%;<0.5%
;;;;0.5%;1.5%;15.5%;2%;–;15%;–;–;–;14%;–;–;–;–;15%;–;6%;30%;0.5%
;;;;0.5%;1.5%;15.5%;3%;–;16%;–;–;–;15%;–;–;–;–;–;11%;6%;31%;0.5%
;;;;1%;1.5%;14.5%;2%;–;–;13.5%;–;–;–;36%;–;–;–;–;–;4%;27.5%;<0.5%
;;;;0.5%;1%;14%;2.5%;–;–;9%;–;12%;–;31%;–;–;–;–;–;5%;24.5%;0.5%
;;;;1%;1%;14%;2.5%;–;–;–;5.5%;15%;–;32%;–;–;–;–;–;4%;24.5%;0.5%
;;;;1%;1%;13.5%;3%;–;–;–;6%;18%;9%;–;20.5%;–;–;–;–;4%;23.5%;0.5%
BVA;14–16 Oct 2016;916;27%;1%;2%;12.5%;2.5%;–;11%;–;–;–;–;37%;–;–;–;–;–;5%;29%;–
;;;;1%;1.5%;14%;3%;–;13%;–;–;–;14%;–;22%;–;–;–;–;4%;27.5%;–
;;;;1%;2%;12%;2%;–;9%;–;–;11%;–;33%;–;–;–;–;–;4%;26%;–
;;;;1%;2%;12%;2.5%;–;9.5%;–;–;14%;10%;–;20%;–;–;–;–;4%;25%;–
;;;;1%;2%;13%;2%;–;–;–;9%;–;–;39%;–;–;–;–;–;5%;29%;–
;;;;1%;1%;15%;3%;–;–;–;10%;–;15%;–;22%;–;–;–;–;5%;28%;–
Ifop for DLF;26–28 Sep 2016;932;–;1.5%;–;12%;2.5%;–;12%;–;–;12%;–;27%;–;–;–;–;–;5%;28%;–
Elabe;20–21 Sep 2016;922;44%;1%;1%;15%;3%;–;15%;–;–;–;–;34%;–;–;–;–;–;3%;28%;–
;;;;1%;1%;14%;3%;–;16%;–;–;–;12%;–;23%;–;–;–;–;3%;27%;–
;;;;1%;1%;13%;3%;–;12%;–;–;14%;–;26%;–;–;–;–;–;3%;27%;–
;;;;0.5%;0.5%;15%;2.5%;–;12.5%;–;–;15%;8%;–;18%;–;–;–;–;3%;25%;–
;;;;1%;1%;14%;2.5%;–;–;9%;–;14%;–;28%;–;–;–;–;–;3.5%;27%;–
;;;;1%;1%;15%;2%;–;–;9%;–;15%;10%;–;18%;–;–;–;–;3%;26%;–
;;;;1%;1.5%;14%;2%;–;–;–;7%;16%;–;29.5%;–;–;–;–;–;2%;27%;–
;;;;0.5%;1%;14%;2%;–;–;–;7%;18%;9%;–;19%;–;–;–;–;3%;26.5%;–
Ipsos;9–18 Sep 2016;12,469;–;1.5%;1.5%;12.5%;3%;–;12.5%;–;–;–;–;34%;–;–;–;–;–;5%;30%;<0.5%
;;;;1.5%;1.5%;13%;3%;–;13%;–;–;–;12%;–;22%;–;–;–;–;5%;29%;<0.5%
;;;;1.5%;1.5%;11.5%;2.5%;–;10%;–;–;12%;–;28%;–;–;–;–;–;5%;28%;<0.5%
;;;;1.5%;1.5%;11.5%;2.5%;–;10%;–;–;14%;9%;–;18%;–;–;–;–;5%;27%;<0.5%
BVA;9–11 Sep 2016;912;30%;1%;1%;12%;3%;–;11%;–;–;–;–;36%;–;–;–;–;–;6%;30%;–
;;;;0.5%;1%;12.5%;3.5%;–;13%;–;–;–;13%;–;22%;–;–;–;–;5%;29.5%;–
;;;;1%;1%;13%;3%;–;13%;–;–;–;12%;–;–;18.5%;–;–;–;5.5%;33%;–
;;;;1%;1%;13%;3.5%;–;14%;–;–;–;12.5%;–;–;–;16%;–;–;7%;32%;–
;;;;1%;0.5%;10%;3%;–;9%;–;–;16.5%;–;26%;–;–;–;–;–;6%;28%;–
;;;;1%;1%;11%;3%;–;9%;–;–;18.5%;7%;–;19%;–;–;–;–;5%;25.5%;–
;;;;0.5%;1.5%;12%;2%;–;–;–;9%;–;–;38%;–;–;–;–;–;7%;30%;–
;;;;1%;0.5%;13.5%;2.5%;–;–;–;9%;–;14%;–;24%;–;–;–;–;6.5%;29%;–
Ifop-Fiducial;5–7 Sep 2016;1,903;–;1%;1.5%;13.5%;3%;–;14%;–;–;–;–;33%;–;–;–;–;–;5%;29%;<0.5%
;;;;1%;1.5%;14%;3%;–;14.5%;–;–;–;13%;–;22%;–;–;–;–;5%;26%;<0.5%
;;;;1%;1.5%;14.5%;3%;–;15.5%;–;–;–;12%;–;–;–;17%;–;–;5%;30%;0.5%
;;;;1%;1.5%;12.5%;2.5%;–;10%;–;–;15%;–;27%;–;–;–;–;–;4%;26%;0.5%
;;;;1%;1.5%;11%;2.5%;–;10%;–;3.5%;14%;–;26%;–;–;–;–;–;4%;26%;0.5%
;;;;1%;1.5%;11%;2.5%;–;10%;–;4%;15%;9%;–;18%;–;–;–;–;4%;24%;<0.5%
;;;;1%;1%;13.5%;3%;–;–;8%;–;16%;–;27%;–;–;–;–;–;4%;26%;0.5%
;;;;1%;1%;11.5%;3%;–;–;7%;5%;14%;–;27%;–;–;–;–;–;4%;26%;0.5%
TNS Sofres;2–5 Sep 2016;1,006;25%;1.5%;1.5%;12%;3%;–;14%;–;–;–;–;33%;–;–;–;–;–;6%;29%;<0.5%
;;;;1%;2%;12%;2%;–;13%;–;–;–;13%;–;25%;–;–;–;–;5%;27%;<0.5%
;;;;1.5%;2.5%;13%;4.5%;–;15%;–;–;–;–;–;27%;–;–;–;–;7%;29%;0.5%
;;;;1%;1.5%;11.5%;3%;–;11%;–;–;15%;–;25%;–;–;–;–;–;3.5%;28.5%;<0.5%
;;;;1%;1%;11%;2%;–;11%;–;–;16%;9%;–;20%;–;–;–;–;3%;26%;<0.5%
;;;;1%;1%;12%;3%;–;12%;–;–;18%;–;–;22%;–;–;–;–;4%;27%;<0.5%
;;;;1.5%;2%;11%;3.5%;–;–;–;6%;16%;–;27%;–;–;–;–;–;5%;27.5%;0.5%
;;;;1.5%;1%;10%;3%;–;–;–;5%;18%;8%;–;22%;–;–;–;–;4%;27%;0.5%
;;;;2%;2%;11%;4%;–;–;–;7%;20%;–;–;22%;–;–;–;–;4%;27%;1%
BVA;8–10 Jul 2016;936;31%;1%;1.5%;13.5%;2%;–;13.5%;–;–;–;–;36%;–;–;–;–;–;4.5%;28%;–
;;;;1%;1%;13%;2%;–;13%;–;–;–;13%;–;23%;–;–;–;–;5%;29%;–
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
