Polling firm;Fieldwork date;Sample;Abs.;Arthaud;Poutou;Mélenchon;Jadot;Hamon;Macron;Bayrou;Lassalle;Fillon;Juppé;Dupont-Aignan;Asselineau;Le Pen;Cheminade
OpinionWay;7–9 Feb 2017;1,496;–;0%;1%;13%;1%;16%;21%;–;–;20%;–;3%;–;25%;–
Ifop-Fiducial;6–9 Feb 2017;1,407;38.5%;0.5%;<0.5%;10.5%;1.5%;15%;21%;5.5%;–;17.5%;–;2.5%;–;26%;<0.5%
Elabe;7–8 Feb 2017;961;36%;0.5%;0.5%;13%;1%;15.5%;23.5%;–;–;18%;–;2%;–;26%;–
;;;;0.5%;0.5%;12%;1%;15%;22%;5%;–;17%;–;1.5%;–;25.5%;–
Harris Interactive;6–8 Feb 2017;5,432;–;<0.5%;1%;12%;2%;14%;21%;5%;–;19%;–;2%;–;24%;–
OpinionWay;6–8 Feb 2017;1,454;–;0%;1%;13%;1%;16%;21%;–;–;20%;–;4%;–;24%;–
Ifop-Fiducial;5–8 Feb 2017;1,409;38%;0.5%;0.5%;10.5%;1.5%;14.5%;21%;5.5%;–;18%;–;2%;–;26%;<0.5%
OpinionWay;5–7 Feb 2017;1,487;–;0%;2%;12%;1%;15%;22%;–;–;20%;–;3%;–;25%;–
Ifop-Fiducial;3–7 Feb 2017;1,424;38.5%;0.5%;1%;10.5%;1%;14.5%;21%;5%;–;18.5%;–;2%;–;26%;<0.5%
Elabe;4–6 Feb 2017;993;–;0.5%;0.5%;14%;0.5%;14.5%;23%;–;–;17.5%;–;2.5%;–;27%;–
;;;;0.5%;0.5%;13%;0.5%;14%;22%;4%;–;17%;–;2%;–;26.5%;–
OpinionWay;4–6 Feb 2017;1,568;–;0%;1%;12%;1%;14%;23%;–;–;20%;–;4%;–;25%;–
Ifop-Fiducial;2–6 Feb 2017;1,433;39.5%;0.5%;1%;10%;1%;15.5%;20.5%;5%;–;18.5%;–;2.5%;–;25.5%;<0.5%
OpinionWay;3–5 Feb 2017;1,7;–;0%;1%;11%;2%;14%;23%;–;–;20%;–;3%;–;26%;–
Ifop-Fiducial;31 Jan–3 Feb 2017;1,43;39.5%;0.5%;1%;10%;1%;16.5%;20.5%;4.5%;–;18.5%;–;2.5%;–;25%;<0.5%
BVA;1–2 Feb 2017;640;25%;0.5%;0.5%;11.5%;1.5%;17%;22%;–;–;20%;–;2%;–;25%;–
;;646;;0.5%;0.5%;11%;1%;16%;21%;5%;–;18%;–;2%;–;25%;–
Ifop-Fiducial;30 Jan–2 Feb 2017;1,414;38%;0.5%;1%;9.5%;1%;17%;20%;4%;–;20%;–;2.5%;–;24.5%;<0.5%
Ifop-Fiducial;29 Jan–1 Feb 2017;1,409;37%;<0.5%;0.5%;9%;1%;18%;20%;4.5%;–;21%;–;2%;–;24%;<0.5%
Elabe;30–31 Jan 2017;993;39%;0.5%;0.5%;10%;1%;17%;23%;–;–;20%;–;1%;–;27%;–
;;;;0.5%;0.5%;10%;1%;16%;22%;4%;–;19%;–;1%;–;26%;–
Kantar Sofres;26–27 Jan 2017;700;29%;0.5%;0.5%;10%;2%;15%;21%;–;–;22%;–;3.5%;–;25%;0.5%
;;;;0.5%;0.5%;10%;2%;13%;20%;5%;–;21%;–;3%;–;25%;<0.5%
